Id,Name,Type,Price,Metacritic,Recommendations,Year,Playtime,AchievCount,AchievDone,Icon,Logo
13520,Far Cry,game,999,89,3110,2008,0,0,0,76f5a80c061ffb5553619fc2b54e6e3a44dfd0fb,85cd787d6a73c2aaba39df0e53c8a75afcca6d68
13560,Tom Clancy's Splinter Cell,game,499,91,903,2008,0,0,0,0c608cfc4a7d7a9a1b5130490b74e4b8cfb61d02,9783dca9c8b2d7805397b9d822c46f9e7518c14e
15100,Assassin's Creed,game,999,79,5728,2008,62,0,0,cd8f7a795e34e16449f7ad8d8190dce521967917,5450218e6f8ea246272cddcb2ab9a453b0ca7ef5
15170,Heroes of Might & Magic V,game,999,77,1187,2008,1954,0,0,487af5c9a91b6a0ac4615954a41d9209d69368f2,7392e2e925bceb525fce7bc5543ec597d7fa403f
15130,Beyond Good & Evil,game,499,,1741,2008,0,0,0,225272b8dcf7c8c107f8a95442f67f7ce40e3a1f,4e149d3a7f681c9de594beee2b9bf3ea90b47de0
12750,GRID,,,,,,0,0,0,c9367af908a9527040b41f6323aee4507bcba722,4d703d465e6e83f272ff07b3b9636fe52f2e9a19
15700,Oddworld: Abe's Oddysee,game,299,,1334,2008,110,0,0,146cabd04a2e1a813085fbc4511c10ca01fac51b,b36c09cedd607be8661c6ae9dea7966158281c3f
15710,Oddworld: Abe's Exoddus,game,299,,730,2008,0,0,0,146cabd04a2e1a813085fbc4511c10ca01fac51b,f62f94b381fcb897125ae4376e8d3eb3d2b7fdbe
19900,Far Cry 2,game,999,85,5802,2008,0,0,0,c73f0c967f77518128c6f2a3f0c4069ff49b1441,3fa04cb86e9512e8ff4f520860db163e86243dd8
17300,Crysis,game,1499,91,6264,2008,0,0,0,94bdcfce65cc63a92dcc76977f2b59750f67e3b2,c87630a45764856250306e33f7e0c0195dc2f4af
17330,Crysis Warhead,game,999,84,1726,2008,0,0,0,c29cf6caf9be493569091f8a95acb9139e92a485,2df1e5c3f039a252eaceb5853916ab1ad65fb9ee
17340,Crysis Wars,game,999,84,1726,2008,0,0,0,8085d7a383827dcbf48a2383cf148bde090d9109,f67c1df6123c3b3807f363554092bc6fc4178d45
20900,The Witcher: Enhanced Edition,game,999,86,25612,2008,0,0,0,746d1cd48fb2e57d579b05b6e9eccba95859e549,d37dedbc4104d1683385d022314d1316399b3dce
1530,Multiwinia,game,819,76,286,2008,0,12,0,d73261f7f57b0ccf175acc81cdab00dc55b421fa,15f787b65336ac137afc31cf700fa69c018fc68d
13540,Tom Clancy's Rainbow Six: Vegas,game,999,85,390,2008,0,0,0,8ef648763f4d0ebabba52549933a2d840d5ef531,ee8676641095650b0ad964018d99f0815641c9de
15000,Tom Clancy's Rainbow Six: Lockdown,game,499,59,136,2009,0,0,0,4612da9073b44d7cbe8ba4547a9eb75e75efaf52,62ef14646f8c1f40f10ac67a06f2b2fddf4ae183
15120,Tom Clancy's Rainbow Six: Vegas 2,game,999,78,2475,2008,0,0,0,ba7f6e645dd1b070ca8a367ae18d2eaba7f0a526,ea7dfc77dc44a50a54bc5ffee41349b47b7ee3f2
19830,Tom Clancy's Rainbow Six 3: Gold Edition,game,499,85,750,2008,0,0,0,a9c876bc4fb0f87c81dd828a91cf8115db9ca258,0d2137c5c44872a82aba426a71070547ae9782f1
19840,Tom Clancy's Rainbow Six 3: Athena Sword,,,,,,0,0,0,a9c876bc4fb0f87c81dd828a91cf8115db9ca258,0d2137c5c44872a82aba426a71070547ae9782f1
15380,Heroes of Might & Magic V: Hammers of Fate,game,999,66,,2008,0,0,0,05008699f6e407c370d77b1c0ba3c8de8110ac9c,7507a40563cb523cb14d8f639e2c4a5f32d23cc8
15370,Heroes of Might & Magic V: Tribes of the East,game,999,70,684,2008,0,0,0,1e7e71c1e0cf6cbbc6107c6e28f9bb61408bc48a,485e1ba5c9ef6c452849a8d46cea94cc27e59e95
22000,World of Goo,game,999,90,2465,2008,296,8,0,fce27346192c28e854b7381f160bd19ae645f62f,d2a60cb23c6743862af40267817099b08602ee92
500,Left 4 Dead,game,819,89,12090,2008,0,73,0,428df26bc35b09319e31b1ffb712487b20b3245c,0f67ee504d8f04ecd83986dd7855821dc21f7a78
12200,Bully: Scholarship Edition,game,999,72,7927,2008,172,0,0,791f13dd4ea6c4cdf171670cc576682171c1eae5,e2aad562be7e67c2477972fa738675e005cb73df
13500,Prince of Persia: Warrior Within,game,999,83,622,2009,0,0,0,7ccfe3fae3c5fc44dad734dbd0af10f041fe94e7,285ec526da377790123f1df713d71f3559711989
13530,Prince of Persia: The Two Thrones,game,999,85,379,2009,0,0,0,8ceeaa9e2d1b0eb804b1826e95e5c268703f6c37,900da1e8bd5721bfac4713f6631d4b1e0262f6a8
13600,Prince of Persia: The Sands of Time,game,999,89,784,2009,0,0,0,e65c77b489a5f4e0d4cde9f09d05443b717d0690,8dc90e429e0e6745e91a8139d51210555ed21166
19980,Prince of Persia,game,999,82,1024,2008,0,0,0,2b404bd60fb97a9c1eabb9d4a573909c014a23fd,3730e623f4a2d411ff3cb1ed63a10f9be42a4a22
17390,Spore,game,1499,84,14340,2008,53,0,0,00e6b5f1f7173e5a2db9978de34df03abb886430,75a96828a453586042ec4231e617070bc2f35625
17440,Spore: Creepy & Cute Parts Pack,game,999,,489,2008,0,0,0,00e6b5f1f7173e5a2db9978de34df03abb886430,4fd83f3a28e4eccb385e090366cb7b25f6da6b1d
17460,Mass Effect,game,999,89,9333,2008,0,0,0,57be81f70afa48c65437df93d75ba167a29687bc,7501ea5009533fa5c017ec1f4b94725d67ad4936
17480,Command and Conquer: Red Alert 3,game,999,82,4230,2009,0,0,0,02f2c2f9e3511f7c6d4a0afa184cc0a121581a13,1b9a5723f68bf15ba865e151afbde9f1eb9a3846
17410,Mirror's Edge,game,999,81,14248,2009,23,0,0,cfea4731163004b2e5117c3b42a798c48c483d8f,8c5a900802fabf20a7922c6a69cec9320c940514
16450,F.E.A.R. 2: Project Origin,game,1499,79,1563,2009,0,0,0,6611d8b01c7a2cc3538c478c044d1e09f3140eaa,41734347c3f05fe7dd797570130f5069c08f9d1b
13580,Tom Clancy's Splinter Cell: Double Agent,game,999,80,693,2009,0,0,0,c739b0782b639e6f7aac241d93486273f0ae0908,edb87d5b6835dcf8f22ac080220aa6e2bf7b3b6c
21760,World in Conflict,advertising,,89,557,2008,0,0,0,177d0b92597475f22d07c5e985cfe9e47032e12f,21e6e0e073e19ab56f98f0145be5b124029273be
21910,World in Conflict: Soviet Assault,advertising,,89,557,2008,0,0,0,177d0b92597475f22d07c5e985cfe9e47032e12f,ff13d9169be26d21432b0d21a342f6a93fe5cf58
3480,Peggle Deluxe,game,499,,791,2007,65,0,0,427a98a549c3813e13b4062300709000599817b0,ddc060ce453b7cfa8c82ba2abc321e1b6110fd4e
3540,Peggle Nights,game,499,76,293,2008,0,0,0,41ec4d1b164eaea5a2520e6aef6dada128d32acc,4b7bcc68dfc5faf786565132e9e28340061e949a
9340,Company of Heroes: Opposing Fronts,game,1299,87,373,2007,0,0,0,29725d719946c3e1aa4eea15d262c9fd789c1392,830c99099ea2cfecfe74c41f376fc892a09dd181
20540,Company of Heroes: Tales of Valor,game,1299,70,853,2009,0,0,0,64946619217da497c9b29bc817bb40dd7d28c912,ed0c55412acea558d025a3e238e2b7341edc5c41
26800,Braid,game,1499,90,4173,2009,65,12,11,1468d086e684d6a3067bd4bdc63f699fc0aede3d,dc76bb847fbb82ca81e122927541398d41638ac8
8880,Freedom Force,game,399,90,265,2009,0,0,0,9782dc5c4a6a3be777a64593f0dc529599b3aa95,057247dd595cb51fb63567d5464a3148831ae5b0
8890,Freedom Force vs. the 3rd Reich,game,399,,106,2009,0,0,0,e95b52cd98240242852f6e93e4543330533b2434,813996359c83b59180f939069dad1c889de96cd6
33250,Anno 1404,game,999,82,573,2009,0,0,0,f886a922cc2f058ce6db9e9ff5f41aa6d0baa00e,746ff37b3ab1e2332e6b42afd655944b133aa03b
24720,Spore: Galactic Adventures,game,999,70,2038,2009,1,0,0,fb853a0ee1b27e6b9d0aa3b5a7d24d2bf3b0aae3,0431fd1920415c71a735b0b213f63a38b8a2e0f2
37400,Time Gentlemen, Please!,game,399,84,396,2009,239,0,0,f873370c73dffb2b1f147bb6b4de799ba310919e,e56c6da2960caa8a07532217709cf8a071cd6f92
37420,Ben There, Dan That!,game,399,84,396,2009,630,0,0,7bc7a25d47125a815a457aa585337d9ba766177d,e56c6da2960caa8a07532217709cf8a071cd6f92
13570,Tom Clancy's Splinter Cell: Chaos Theory,game,999,92,1613,2009,0,0,0,a76c218888e97127411c6fe16f1b98088d332d51,19fbbd7c33efd3be9176a3c960c84eeeda0823cb
38450,MDK,game,999,,154,2009,15,0,0,84c4b9d2d46a5ed47a45312814d035eb6dbd04ff,7d9a4652c5167a9e74c29da6cf0ddcf8615f2998
38460,MDK 2,game,999,83,103,2009,30,0,0,fee00aeac9343ce8fb3c3ba16da951d4f244a1d6,1b888b9c85f1adcf7ada80ac41273422b4746bdb
40700,Machinarium,game,999,85,3545,2009,487,12,0,33e11d52f0a2335671d7bf73341c14ae6e596809,5101b896d69a6eafc32667689a7f5d8756a4ac87
24800,Command and Conquer: Red Alert 3 - Uprising,game,999,,870,2009,0,0,0,c65f15f9b850a0becaf708a4668e7f285eeff209,de6777c6cf277967764224514fb200af9197ae2e
39530,Painkiller: Black Edition,game,999,,401,2007,0,0,0,3e8830b9553bc7b12fb3762eec097b44551988b2,9779256adc151abf34248362ac0ffc700ef92623
